reference_char,predicted_char,count
a,e,230
a,o,222
k,t,186
l,t,128
r,t,74
h,t,71
u,s,64
u,e,58
m,n,58
k,e,58
s,S,51
n,r,50
l,d,48
a,s,47
k,l,46
s,c,43
b,t,42
i,t,41
h,n,38
r,c,38
.,t,37
a,d,37
u,i,37
.,e,35
d,s,35
a,g,33
a,r,32
b,h,32
a,u,30
m,r,29
t,l,29
a,t,28
a,n,26
u,n,25
a,i,25
u,t,25
u,y,25
u,r,23
k,h,23
l,i,21
w,v,20
l,s,20
n,s,19
u,4,19
a,<space>,18
i,1,18
s,r,17
r,e,17
u,a,17
i,<space>,17
i,e,16
u,o,15
p,g,15
b,o,15
<space>,i,15
t,r,15
b,D,15
i,l,15
<space>,t,15
w,n,14
t,d,14
k,r,14
b,p,14
a,9,14
n,t,14
.,-,13
r,<space>,13
s,e,13
k,b,13
k,f,13
b,T,13
r,v,13
k,o,13
a,0,13
<space>,-,12
B,P,12
j,i,12
d,S,12
i,s,12
b,d,12
a,q,12
.,l,12
u,v,12
y,u,11
a,c,11
r,o,11
o,e,11
k,<space>,11
S,L,11
u,h,11
a,A,11
h,l,10
j,y,10
.,s,10
j,s,10
i,r,9
r,i,9
S,C,9
r,n,9
b,B,9
g,q,9
p,P,9
n,o,9
B,D,9
n,a,8
e,o,8
i,d,8
b,E,8
k,i,8
r,s,8
w,u,8
y,s,8
S,F,8
d,l,8
<space>,s,8
d,e,8
b,v,8
m,t,8
t,1,7
w,m,7
b,s,7
e,<space>,7
<space>,e,7
o,d,7
n,h,7
l,<space>,7
l,o,7
p,e,7
<space>,n,7
p,o,7
l,1,7
y,r,7
B,d,6
t,f,6
a,6,6
y,g,6
t,e,6
u,<space>,6
w,i,6
p,v,6
h,b,6
t,4,6
g,s,6
l,e,6
i,n,6
a,p,6
h,r,6
d,c,6
B,E,6
k,x,6
u,0,6
a,l,6
n,i,6
g,o,6
i,',6
t,h,6
a,E,6
o,O,6
<space>,a,6
n,p,6
i,I,6
k,n,5
n,<space>,5
B,R,5
s,i,5
B,b,5
a,",",5
j,g,5
a,D,5
j,o,5
r,l,5
t,i,5
m,M,5
i,h,5
h,<space>,5
S,s,5
m,v,5
s,5,5
S,E,5
g,d,5
a,f,5
s,g,5
a,v,5
y,o,5
p,b,5
a,G,5
m,p,4
u,d,4
i,é,4
o,-,4
.,0,4
r,u,4
b,r,4
d,i,4
y,e,4
j,e,4
e,c,4
t,s,4
m,o,4
k,s,4
t,I,4
i,E,4
u,w,4
y,4,4
b,e,4
d,r,4
h,s,4
S,G,4
w,r,4
s,o,4
e,a,4
m,s,4
l,j,4
a,x,4
s,G,4
a,b,4
.,c,4
o,s,4
s,<space>,4
g,<space>,4
a,(,4
u,f,4
h,4,4
<space>,d,4
y,V,4
a,S,4
u,U,4
r,R,4
m,h,4
B,S,4
y,t,4
p,l,4
u,M,3
l,D,3
S,P,3
b,L,3
d,t,3
t,L,3
S,T,3
b,g,3
d,u,3
s,L,3
.,r,3
t,n,3
u,c,3
g,y,3
i,o,3
.,g,3
u,l,3
h,i,3
t,A,3
t,M,3
p,u,3
b,l,3
l,-,3
<space>,',3
l,a,3
a,m,3
g,a,3
k,u,3
m,w,3
y,<space>,3
