model,operation,reference_char,predicted_char,count
Kraken/CRNN,substitution,l,ł,4
Kraken/CRNN,substitution,o,a,3
Kraken/CRNN,substitution,c,s,2
Kraken/CRNN,substitution,e,o,2
Kraken/CRNN,substitution, ,i,2
Kraken/CRNN,substitution,ą,a,2
Kraken/CRNN,substitution,i,e,2
Kraken/CRNN,substitution,z,ż,2
Kraken/CRNN,substitution,e,c,2
Kraken/CRNN,substitution,L,l,1
Kraken/CRNN,substitution,z,r,1
Kraken/CRNN,substitution,M,Y,1
Qwen3-VL,substitution,e,ę,7
Qwen3-VL,substitution,l,ł,4
Qwen3-VL,substitution,e,c,3
Qwen3-VL,substitution,o,a,3
Qwen3-VL,substitution,K,k,2
Qwen3-VL,substitution,ę,e,2
Qwen3-VL,substitution,Ś,S,2
Qwen3-VL,substitution,P,p,2
Qwen3-VL,substitution,z,ż,2
Qwen3-VL,substitution,S,Ś,1
Qwen3-VL,substitution,s,ś,1
Qwen3-VL,substitution,?,.,1
TrOCR-large,substitution,o,a,5
TrOCR-large,substitution,p,P,4
TrOCR-large,substitution,l,ł,3
TrOCR-large,substitution,e,ę,3
TrOCR-large,substitution,ą,a,2
TrOCR-large,substitution,o,e,2
TrOCR-large,substitution,n,c,2
TrOCR-large,substitution,a,z,2
TrOCR-large,substitution,a,c,2
TrOCR-large,substitution,k,K,2
TrOCR-large,substitution,n,ł,2
TrOCR-large,substitution,l,s,2
