image_path,text,group,text_id
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (1).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (1).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (2).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (2).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (3).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (3).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (4).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (4).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (5).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (5).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (6).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (6).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (7).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (7).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (8).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (8).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (9).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (9).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (10).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (10).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (11).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (11).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (12).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (12).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (13).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (13).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (14).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (14).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (15).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (15).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (16).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (16).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (17).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (17).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (18).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (18).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (19).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (19).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (20).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (20).jpg,Baju itu baru dibeli oleh emak.,LPD,1
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (21).jpg,Burung itu berada di dalam sangkar. Sangkar baru itu milik bapa.,LPD,2
C:\Users\kubag\Desktop\MGR\Dataset\Potential Dysgraphia Handwriting Dataset of School-Age Children\Low Potential Dysgraphia\LPD (21).jpg,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,LPD,3
