Family,Model,Difficulty Group,N,Corpus CER,Corpus WER,Corpus CLA,Corpus CRW,Sec/line
Qwen3VL,Qwen3-VL-2B-Instruct,dysgrafia,458,0.320,0.654,0.720,0.435,7.369
TrOCR,trocr-large,dysgrafia,458,0.627,1.159,0.448,0.042,2.152
CRNN/Kraken,CRNN/Kraken,dysgrafia,458,0.745,1.028,0.557,0.014,0.592
TrOCR,trocr-base,dysgrafia,458,0.879,1.394,0.169,0.030,1.868
TrOCR,trocr-small,dysgrafia,458,0.921,1.293,0.188,0.031,0.254
Qwen3VL,Qwen3-VL-2B-Instruct,inne,261,0.215,0.520,0.812,0.554,7.206
TrOCR,trocr-large,inne,261,0.562,1.154,0.499,0.058,2.239
CRNN/Kraken,CRNN/Kraken,inne,261,0.766,1.028,0.563,0.010,0.574
TrOCR,trocr-base,inne,261,0.790,1.396,0.249,0.041,1.740
TrOCR,trocr-small,inne,261,0.790,1.252,0.300,0.041,0.231
Qwen3VL,Qwen3-VL-2B-Instruct,nie,1594,0.183,0.444,0.841,0.601,7.219
TrOCR,trocr-large,nie,1594,0.549,1.147,0.510,0.064,2.172
TrOCR,trocr-base,nie,1594,0.765,1.403,0.272,0.044,1.699
CRNN/Kraken,CRNN/Kraken,nie,1594,0.769,1.030,0.549,0.005,0.598
TrOCR,trocr-small,nie,1594,0.805,1.299,0.282,0.040,0.233
