family,model_id,dataset,source_dataset,preprocessing_variant,group,samples,cer_mean,cla_mean,corpus_edit_distance_chars,corpus_reference_chars,corpus_char_substitutions,corpus_char_insertions,wer_mean,crw_mean,corpus_edit_distance_words,corpus_reference_words,corpus_correct_recognized_words,inference_seconds_mean,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,corpus_cer,corpus_wer,corpus_cla,corpus_crw,model_short
CRNN/Kraken,CRNN/Kraken,polish_forms_all,polish_forms,native,dysgrafia,458,0.7506674919306009,0.5545531662641138,15039,20185,8611,326,1.0420018966962197,0.012130112730549411,3313,3223,45,0.5921310227131471,,,0.7450582115432252,1.0279242941358981,0.557245479316324,0.013962147067949116,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_all,polish_forms,native,inne,261,0.7703500668648277,0.5623027299191847,8818,11515,4898,130,1.0404640272456365,0.007928905917411664,1864,1813,19,0.5738645693491538,,,0.7657837603126357,1.0281301709873139,0.5633521493703865,0.010479867622724766,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_all,polish_forms,native,nie,1594,0.7728530329855623,0.5460457083088252,54721,71152,31315,796,1.0393940072892394,0.0044723765708709244,11648,11311,58,0.5976266967375304,,,0.7690718461884416,1.029794005835028,0.5486985608275242,0.005127751746087879,CRNN/Kraken
Qwen3VL,Qwen/Qwen3-VL-2B-Instruct,polish_forms_all,polish_forms,native,dysgrafia,458,0.3186341885873021,0.7209449261253261,6466,20185,4041,1603,0.6659516247944196,0.43920710536431057,2109,3223,1401,7.3694009508693075,4229.2041015625,4314.0,0.3203368838246222,0.6543592925845485,0.7203864255635373,0.4346881787154825,Qwen3-VL-2B-Instruct
Qwen3VL,Qwen/Qwen3-VL-2B-Instruct,polish_forms_all,polish_forms,native,inne,261,0.2131354082697909,0.8147112154524818,2480,11515,1584,577,0.5407741896247643,0.5438575685702123,943,1813,1005,7.2055762593850305,4205.68994140625,4314.0,0.2153712548849327,0.5201323772752344,0.8123317412071211,0.5543298400441258,Qwen3-VL-2B-Instruct
Qwen3VL,Qwen/Qwen3-VL-2B-Instruct,polish_forms_all,polish_forms,native,nie,1594,0.1819351388074768,0.8414322989804782,13038,71152,8580,2747,0.45265479675768255,0.6012415108243213,5020,11311,6793,7.219248906023178,4205.68994140625,4314.0,0.18324151113109963,0.4438157545751923,0.8408055992804138,0.6005658208823269,Qwen3-VL-2B-Instruct
TrOCR,microsoft/trocr-base-handwritten,polish_forms_all,polish_forms,native,dysgrafia,458,0.9042884902824327,0.14197696761942366,17746,20185,9711,7066,1.448752575663056,0.029872020265033362,4494,3223,98,1.8679847267461944,690.29443359375,774.0,0.8791676987862274,1.3943530871858516,0.1688382462224424,0.03040645361464474,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_all,polish_forms,native,inne,261,0.8052305386514819,0.2324923447446195,9094,11515,5195,3448,1.4474107522958097,0.037537249893571725,2531,1813,74,1.7398310666651844,690.2939453125,774.0,0.7897524967433782,1.3960286817429675,0.24941380807642205,0.04081632653061224,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_all,polish_forms,native,nie,1594,0.7780898718228831,0.2565191581519534,54399,71152,30694,21136,1.4368318197207783,0.043235794945330704,15868,11311,494,1.6991759491547953,690.29443359375,774.0,0.7645463233640657,1.402882150119353,0.2715594782999775,0.043674299354610556,trocr-base
TrOCR,microsoft/trocr-large-handwritten,polish_forms_all,polish_forms,native,dysgrafia,458,0.6235272160226051,0.45093532131180286,12659,20185,8642,2501,1.1848775496701263,0.04311975021582008,3734,3223,136,2.151987743887142,1107.21533203125,1138.0,0.6271488729254396,1.1585479367049334,0.4479564032697548,0.04219671113869066,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_all,polish_forms,native,inne,261,0.5615626656468512,0.49897977144593664,6474,11515,4496,1270,1.1837833728638327,0.057037949279328586,2092,1813,106,2.238945762831557,1107.21533203125,1138.0,0.5622231871471993,1.1538885824600111,0.49926183239253147,0.05846662989520132,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_all,polish_forms,native,nie,1594,0.5476289826991454,0.5112652139443197,39080,71152,26879,7983,1.1656601641074664,0.06411070283404034,12973,11311,720,2.17206565533281,1107.2158203125,1138.0,0.5492466831571846,1.1469366103792769,0.510034854958399,0.06365484926178057,trocr-large
TrOCR,microsoft/trocr-small-handwritten,polish_forms_all,polish_forms,native,dysgrafia,458,1.186730670092119,-0.07970342484324815,18581,20185,10041,6340,1.5475938423536677,0.028478011556614176,4166,3223,99,0.2537051589519505,163.14111328125,474.0,0.9205350507802824,1.2925845485572447,0.18845677483279663,0.030716723549488054,trocr-small
TrOCR,microsoft/trocr-small-handwritten,polish_forms_all,polish_forms,native,inne,261,0.8205474784709027,0.2665667785864582,9099,11515,5353,2709,1.27108496016542,0.03769081067931643,2270,1813,75,0.23107132451988796,163.13916015625,474.0,0.7901867129830655,1.2520683949255378,0.2998697351280938,0.04136789851075565,trocr-small
TrOCR,microsoft/trocr-small-handwritten,polish_forms_all,polish_forms,native,nie,1594,0.8406561563798773,0.24384233420673987,57258,71152,32089,18994,1.3707247913803748,0.038289667602716536,14688,11311,457,0.23331576687614797,163.14111328125,474.0,0.8047279064537891,1.2985589249403235,0.2820581290757814,0.040403147378657946,trocr-small
