family,model_id,dataset,source_dataset,preprocessing_variant,group,samples,cer_mean,cla_mean,corpus_edit_distance_chars,corpus_reference_chars,corpus_char_substitutions,corpus_char_insertions,wer_mean,crw_mean,corpus_edit_distance_words,corpus_reference_words,corpus_correct_recognized_words,inference_seconds_mean,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,corpus_cer,corpus_wer,corpus_cla,corpus_crw,model_short
CRNN/Kraken,CRNN/Kraken,polish_forms_test,polish_forms,native,dysgrafia,46,0.7944183065053693,0.5722225253051185,1613,2044,854,15,1.0043478260869565,0.0,331,330,0,0.5759333413013298,,,0.7891389432485323,1.003030303030303,0.574853228962818,0.0,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_test,polish_forms,native,inne,36,0.7743651224786552,0.525161530822059,1205,1565,714,28,1.0795745149911817,0.0,260,245,0,0.5804292972219022,,,0.7699680511182109,1.0612244897959184,0.5258785942492012,0.0,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_test,polish_forms,native,nie,159,0.7692877943042268,0.5345581882865592,5454,7121,3202,80,1.0371318758111212,0.00550314465408805,1179,1148,7,0.5905328201277932,,,0.7659036652155596,1.0270034843205575,0.5391096756073586,0.006097560975609756,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_train,polish_forms,native,dysgrafia,377,0.7421047849931918,0.5527317072186841,12207,16585,7074,297,1.050458832355384,0.01366794125414815,2735,2645,42,0.5956805140645903,,,0.7360265299969853,1.0340264650283555,0.5555622550497438,0.015879017013232515,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_train,polish_forms,native,inne,179,0.7886218126006955,0.5764429305756659,6207,7904,3279,67,1.0331404628890661,0.004810676598386095,1260,1231,7,0.5720511636880159,,,0.7852985829959515,1.023558082859464,0.5766700404858299,0.005686433793663688,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_train,polish_forms,native,nie,1288,0.7720057701491577,0.5462525791241561,44093,57407,25280,634,1.0386796928916493,0.004316400473232771,9369,9102,45,0.5996236703407398,,,0.7680770637727107,1.0293342122610416,0.5485916351664432,0.004943968358602505,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_val,polish_forms,native,dysgrafia,35,0.7853990075009968,0.5509502960995649,1219,1556,683,14,1.0003968253968254,0.011507936507936505,247,248,3,0.5751863114402762,,,0.7834190231362468,0.9959677419354839,0.5520565552699229,0.012096774193548387,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_val,polish_forms,native,inne,46,0.6961069258035643,0.5363459310058454,1406,2046,905,35,1.0383540372670808,0.026268115942028984,344,337,12,0.575783469564909,,,0.6871945259042033,1.0207715133531157,0.5405669599217986,0.03560830860534125,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_val,polish_forms,native,nie,147,0.7841329478401304,0.5566584026856551,5174,6624,2833,82,1.0480995572832308,0.00472411186696901,1100,1061,6,0.5878023727920515,,,0.7810990338164251,1.0367577756833177,0.559933574879227,0.005655042412818096,CRNN/Kraken
TrOCR,microsoft/trocr-base-handwritten,polish_forms_test,polish_forms,native,dysgrafia,46,1.0633632733331682,-0.021492431985289464,2055,2044,964,1002,1.4633454106280193,0.03888026224982746,470,330,14,2.4840198467313512,690.2939453125,774.0,1.0053816046966733,1.4242424242424243,0.03816046966731898,0.04242424242424243,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_test,polish_forms,native,inne,36,0.9012876269493201,0.1349500471863874,1408,1565,685,661,1.3965608465608466,0.04722222222222222,335,245,10,1.9669683499960229,690.2939453125,774.0,0.8996805111821087,1.3673469387755102,0.13993610223642172,0.04081632653061224,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_test,polish_forms,native,nie,159,0.7996978992359335,0.23127267469139376,5619,7121,3106,2280,1.4176450034940602,0.0328366776479984,1609,1148,37,1.8947935855351448,690.29443359375,774.0,0.7890745681786266,1.401567944250871,0.24364555539952254,0.032229965156794424,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_train,polish_forms,native,dysgrafia,377,0.892714396759629,0.15445415657533784,14431,16585,7980,5638,1.445935195073126,0.03003567313912141,3676,2645,79,1.817518440052831,690.29443359375,774.0,0.8701236056677721,1.3897920604914933,0.1788965933072053,0.029867674858223062,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_train,polish_forms,native,inne,179,0.7896963287866046,0.24685093838739647,6103,7904,3574,2236,1.470153852975082,0.03859404096834264,1732,1231,54,1.6831002293295076,687.00830078125,774.0,0.7721406882591093,1.4069861900893583,0.2649291497975709,0.043866774979691305,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_train,polish_forms,native,nie,1288,0.7763454883992147,0.2591327797851684,43773,57407,24707,16944,1.4361169649019028,0.043536182588977616,12738,9102,402,1.6865955176648448,690.29443359375,774.0,0.7625028306652499,1.3994726433750824,0.2744613026285993,0.044166117336849046,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_val,polish_forms,native,dysgrafia,35,0.8198882970756652,0.22242531463191434,1260,1556,767,426,1.4599206349206348,0.016269841269841268,348,248,5,1.6019325714342163,687.00732421875,774.0,0.8097686375321337,1.403225806451613,0.2332904884318766,0.020161290322580645,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_val,polish_forms,native,inne,46,0.7905037644578051,0.25295613713677767,1583,2046,936,551,1.3987060041407868,0.025845410628019323,464,337,10,1.7828284076037917,690.2939453125,774.0,0.7737047898338221,1.3768545994065282,0.2732160312805474,0.02967359050445104,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_val,polish_forms,native,nie,147,0.7700020452311139,0.26092627520398126,5007,6624,2881,1912,1.4638483965014577,0.05185185185185185,1521,1061,55,1.597818068709766,687.0068359375,774.0,0.7558876811594203,1.4335532516493874,0.27641908212560384,0.051837888784165884,trocr-base
TrOCR,microsoft/trocr-large-handwritten,polish_forms_test,polish_forms,native,dysgrafia,46,0.629953396133912,0.44092364958752095,1289,2044,901,239,1.1132677708764667,0.033324706694271906,362,330,12,2.0778790195700307,1107.21533203125,1138.0,0.6306262230919765,1.096969696969697,0.44227005870841485,0.03636363636363636,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_test,polish_forms,native,inne,36,0.5536932130033386,0.49892193404620283,869,1565,605,181,1.21494708994709,0.030357142857142853,293,245,8,2.1468140958329767,1107.21533203125,1138.0,0.5552715654952076,1.1959183673469387,0.49776357827476037,0.0326530612244898,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_test,polish_forms,native,nie,159,0.5698348259317828,0.49597157297928196,4085,7121,2820,798,1.1465533592892083,0.058637815713287404,1304,1148,66,2.137676020128339,1107.21533203125,1138.0,0.5736553854795675,1.1358885017421603,0.49192529139165847,0.05749128919860627,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_train,polish_forms,native,dysgrafia,377,0.6238314055208762,0.4508182983735394,10419,16585,7084,2091,1.1953983755707893,0.04391929909171289,3089,2645,111,2.1461305160483652,1107.21533203125,1138.0,0.6282182695206512,1.1678638941398867,0.4467892674103105,0.04196597353497165,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_train,polish_forms,native,inne,179,0.549215089615249,0.5109177116939118,4354,7904,3035,835,1.1865633590493925,0.06580650882326859,1415,1231,83,2.265300535751369,1107.21533203125,1138.0,0.5508603238866396,1.149471974004874,0.5103744939271255,0.06742485783915515,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_train,polish_forms,native,nie,1288,0.5451959579699089,0.51229970796929,31368,57407,21577,6462,1.1659746869762397,0.06477527605244997,10437,9102,586,2.182590928183209,1107.2158203125,1138.0,0.5464142003588413,1.1466710613052076,0.5115752434372115,0.06438145462535706,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_val,polish_forms,native,dysgrafia,35,0.611804823852082,0.46535402265586906,951,1556,657,171,1.1656689342403628,0.04738095238095238,283,248,13,2.312478492853032,1107.21533203125,1138.0,0.6111825192802056,1.1411290322580645,0.46786632390745503,0.05241935483870968,trocr-large
