family,model_id,dataset,source_dataset,preprocessing_variant,group,samples,cer_mean,cla_mean,corpus_edit_distance_chars,corpus_reference_chars,corpus_char_substitutions,corpus_char_insertions,wer_mean,crw_mean,corpus_edit_distance_words,corpus_reference_words,corpus_correct_recognized_words,inference_seconds_mean,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,corpus_cer,corpus_wer,corpus_cla,corpus_crw,model_short
TrOCR,microsoft/trocr-base-handwritten,polish_forms_test,polish_forms,native,dysgrafia,46,1.0633632733331682,-0.021492431985289464,2055,2044,964,1002,1.4633454106280193,0.03888026224982746,470,330,14,2.4840198467313512,690.2939453125,774.0,1.0053816046966733,1.4242424242424243,0.03816046966731898,0.04242424242424243,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_test,polish_forms,native,inne,36,0.9012876269493201,0.1349500471863874,1408,1565,685,661,1.3965608465608466,0.04722222222222222,335,245,10,1.9669683499960229,690.2939453125,774.0,0.8996805111821087,1.3673469387755102,0.13993610223642172,0.04081632653061224,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_test,polish_forms,native,nie,159,0.7996978992359335,0.23127267469139376,5619,7121,3106,2280,1.4176450034940602,0.0328366776479984,1609,1148,37,1.8947935855351448,690.29443359375,774.0,0.7890745681786266,1.401567944250871,0.24364555539952254,0.032229965156794424,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_train,polish_forms,native,dysgrafia,377,0.892714396759629,0.15445415657533784,14431,16585,7980,5638,1.445935195073126,0.03003567313912141,3676,2645,79,1.817518440052831,690.29443359375,774.0,0.8701236056677721,1.3897920604914933,0.1788965933072053,0.029867674858223062,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_train,polish_forms,native,inne,179,0.7896963287866046,0.24685093838739647,6103,7904,3574,2236,1.470153852975082,0.03859404096834264,1732,1231,54,1.6831002293295076,687.00830078125,774.0,0.7721406882591093,1.4069861900893583,0.2649291497975709,0.043866774979691305,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_train,polish_forms,native,nie,1288,0.7763454883992147,0.2591327797851684,43773,57407,24707,16944,1.4361169649019028,0.043536182588977616,12738,9102,402,1.6865955176648448,690.29443359375,774.0,0.7625028306652499,1.3994726433750824,0.2744613026285993,0.044166117336849046,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_val,polish_forms,native,dysgrafia,35,0.8198882970756652,0.22242531463191434,1260,1556,767,426,1.4599206349206348,0.016269841269841268,348,248,5,1.6019325714342163,687.00732421875,774.0,0.8097686375321337,1.403225806451613,0.2332904884318766,0.020161290322580645,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_val,polish_forms,native,inne,46,0.7905037644578051,0.25295613713677767,1583,2046,936,551,1.3987060041407868,0.025845410628019323,464,337,10,1.7828284076037917,690.2939453125,774.0,0.7737047898338221,1.3768545994065282,0.2732160312805474,0.02967359050445104,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_val,polish_forms,native,nie,147,0.7700020452311139,0.26092627520398126,5007,6624,2881,1912,1.4638483965014577,0.05185185185185185,1521,1061,55,1.597818068709766,687.0068359375,774.0,0.7558876811594203,1.4335532516493874,0.27641908212560384,0.051837888784165884,trocr-base
TrOCR,microsoft/trocr-large-handwritten,polish_forms_test,polish_forms,native,dysgrafia,46,0.629953396133912,0.44092364958752095,1289,2044,901,239,1.1132677708764667,0.033324706694271906,362,330,12,2.0778790195700307,1107.21533203125,1138.0,0.6306262230919765,1.096969696969697,0.44227005870841485,0.03636363636363636,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_test,polish_forms,native,inne,36,0.5536932130033386,0.49892193404620283,869,1565,605,181,1.21494708994709,0.030357142857142853,293,245,8,2.1468140958329767,1107.21533203125,1138.0,0.5552715654952076,1.1959183673469387,0.49776357827476037,0.0326530612244898,trocr-large
