reference_char,predicted_char,count
a,а,38
s,S,26
a,o,22
b,б,16
u,y,16
a,q,15
p,р,14
h,n,11
S,s,9
u,a,8
k,к,8
w,W,8
p,P,8
.,",",7
r,t,7
k,K,7
a,u,6
m,м,6
l,1,6
a,4,6
a,d,6
r,n,5
l,i,5
i,і,5
<space>,a,5
<space>,y,5
a,р,5
<space>,i,5
i,l,5
o,a,4
o,O,4
.,-,4
u,n,4
a,i,4
t,H,4
B,b,4
e,е,4
.,:,4
u,i,4
b,h,3
a,e,3
b,в,3
i,л,3
i,<space>,3
p,а,3
r,k,3
u,и,3
a,<space>,3
a,9,3
i,1,3
y,Y,3
<space>,d,3
b,k,2
r,m,2
y,n,2
a,g,2
l,L,2
s,c,2
l,t,2
i,a,2
i,I,2
m,n,2
<space>,-,2
h,b,2
a,е,2
l,k,2
p,r,2
u,k,2
i,n,2
i,м,2
l,і,2
u,у,2
t,т,2
l,л,2
<space>,",",2
k,<space>,2
<space>,l,2
.,k,2
r,р,2
a,о,2
o,0,2
t,<space>,2
a,г,2
<space>,1,2
t,+,2
n,h,2
a,б,2
.,а,2
a,0,2
u,+,2
a,n,2
n,b,2
<space>,n,2
r,R,2
b,B,2
l,4,2
<space>,4,2
l,d,2
<space>,I,2
b,p,2
y,s,2
P,p,2
s,f,1
r,s,1
p,g,1
d,o,1
a,Z,1
y,u,1
a,l,1
a,p,1
d,a,1
s,r,1
t,l,1
.,i,1
p,п,1
n,s,1
i,İ,1
B,R,1
w,n,1
n,m,1
k,l,1
l,c,1
b,с,1
h,H,1
R,B,1
n,r,1
b,К,1
n,p,1
g,e,1
k,j,1
r,a,1
i,u,1
p,г,1
i,-,1
p,с,1
a,ы,1
.,n,1
r,т,1
u,і,1
<space>,·,1
l,r,1
m,M,1
l,<space>,1
a,k,1
<space>,u,1
i,",",1
d,r,1
t,n,1
u,g,1
l,",",1
e,Е,1
m,т,1
a,в,1
.,и,1
u,В,1
<space>,о,1
i,й,1
i,д,1
b,е,1
e,б,1
l,е,1
o,о,1
h,н,1
k,Ф,1
g,o,1
r,j,1
l,q,1
e,c,1
<space>,s,1
s,q,1
r,г,1
i,и,1
u,т,1
<space>,у,1
m,<space>,1
l,и,1
a,K,1
l,9,1
n,g,1
a,ә,1
u,ү,1
<space>,м,1
m,і,1
i,к,1
<space>,б,1
b,ә,1
p,ә,1
t,В,1
<space>,ц,1
b,і,1
a,т,1
r,у,1
u,б,1
<space>,а,1
d,р,1
i,у,1
<space>,д,1
o,і,1
l,о,1
e,і,1
h,е,1
<space>,н,1
a,c,1
a,W,1
k,A,1
t,K,1
<space>,Y,1
u,<space>,1
s,g,1
<space>,t,1
e,o,1
i,t,1
<space>,',1
b,.,1
p,.,1
m,j,1
d,4,1
a,P,1
p,d,1
h,<space>,1
<space>,h,1
a,y,1
y,i,1
r,4,1
a,s,1
r,d,1
<space>,J,1
t,I,1
u,p,1
<space>,q,1
e,E,1
i,+,1
S,С,1
y,р,1
s,С,1
u,ы,1
e,Б,1
r,е,1
m,р,1
a,м,1
i,а,1
n,н,1
r,y,1
e,<space>,1
<space>,e,1
e,l,1
p,q,1
a,",",1
u,o,1
k,i,1
a,t,1
l,J,1
l,j,1
y,9,1
l,ч,1
S,G,1
i,j,1
t,i,1
o,c,1
l,h,1
d,j,1
g,q,1
e,a,1
r,l,1
g,a,1
r,h,1
g,<space>,1
l,m,1
p,F,1
g,p,1
l,/,1
y,x,1
K,k,1
B,a,1
l,b,1
d,g,1
t,y,1
<space>,r,1
d,i,1
b,D,1
