dataset,source_dataset,preprocessing_variant,auto_invert,sample_id,image_key,image_path,relative_image_path,group,image_number,reference_source,text_id,line_id,reference,csv_candidate_count,annotation_status
malaysian_auto_invert,malaysian,auto_invert,True,LPD_001_t1_l1_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_001_t1_l1.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_001_t1_l1.png,malaysian_manual_lines — kopia\LPD_001_t1_l1.png,LPD,1,manual_lines_annotations,1,1.0,Baju itu baru dibeli oleh emak.,1,ok
malaysian_auto_invert,malaysian,auto_invert,True,LPD_002_t2_l1_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_002_t2_l1.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_002_t2_l1.png,malaysian_manual_lines — kopia\LPD_002_t2_l1.png,LPD,2,manual_lines_annotations,2,1.0,Burung itu berada di dalam sangkar. Sangkar,1,ok
malaysian_auto_invert,malaysian,auto_invert,True,LPD_002_t2_l2_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_002_t2_l2.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_002_t2_l2.png,malaysian_manual_lines — kopia\LPD_002_t2_l2.png,LPD,2,manual_lines_annotations,2,2.0,baru itu milik bapa.,1,ok
malaysian_auto_invert,malaysian,auto_invert,True,LPD_003_t3_l1_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l1.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l1.png,malaysian_manual_lines — kopia\LPD_003_t3_l1.png,LPD,3,manual_lines_annotations,3,1.0,Saya suka bermain basikal pada waktu lapang. Basikal itu,1,ok
malaysian_auto_invert,malaysian,auto_invert,True,LPD_003_t3_l2_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l2.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l2.png,malaysian_manual_lines — kopia\LPD_003_t3_l2.png,LPD,3,manual_lines_annotations,3,2.0,dibeli oleh ayah saya. Roda basikal saya berwarna,1,ok
malaysian_auto_invert,malaysian,auto_invert,True,LPD_003_t3_l3_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l3.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l3.png,malaysian_manual_lines — kopia\LPD_003_t3_l3.png,LPD,3,manual_lines_annotations,3,3.0,hijau dan putih.,1,ok
malaysian_auto_invert,malaysian,auto_invert,True,LPD_004_t1_l1_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_004_t1_l1.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_004_t1_l1.png,malaysian_manual_lines — kopia\LPD_004_t1_l1.png,LPD,4,manual_lines_annotations,1,1.0,Baju itu baru dibeli oleh emak.,1,ok
malaysian_auto_invert,malaysian,auto_invert,True,LPD_005_t2_l1_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_005_t2_l1.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_005_t2_l1.png,malaysian_manual_lines — kopia\LPD_005_t2_l1.png,LPD,5,manual_lines_annotations,2,1.0,Burung itu berada di dalam sangkar. Sangkar,1,ok
malaysian_auto_invert,malaysian,auto_invert,True,LPD_005_t2_l2_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_005_t2_l2.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_005_t2_l2.png,malaysian_manual_lines — kopia\LPD_005_t2_l2.png,LPD,5,manual_lines_annotations,2,2.0,baru itu milik bapa.,1,ok
malaysian_auto_invert,malaysian,auto_invert,True,LPD_006_t3_l1_auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_006_t3_l1.png|auto_invert,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_006_t3_l1.png,malaysian_manual_lines — kopia\LPD_006_t3_l1.png,LPD,6,manual_lines_annotations,3,1.0,Saya suka bermain basikal pada waktu lapang.,1,ok
