model_id,dataset,source_dataset,preprocessing_variant,group,samples,cer_mean,cla_mean,corpus_edit_distance_chars,corpus_reference_chars,corpus_char_substitutions,corpus_char_insertions,wer_mean,crw_mean,corpus_edit_distance_words,corpus_reference_words,corpus_correct_recognized_words,inference_seconds_mean,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,corpus_cer,corpus_wer,corpus_cla,corpus_crw,model_short
microsoft/trocr-base-handwritten,iam,iam,native,IAM-test,200,0.054192576472148105,0.9566462861158622,491,9630,279,113,0.13251297535024315,0.8830270679398001,258,1989,1759,1.0067249535035807,690.00048828125,782.0,0.050986500519210796,0.1297134238310709,0.9592938733125649,0.8843640020110608,trocr-base
microsoft/trocr-base-handwritten,malaysian_auto_invert,malaysian,auto_invert,LPD,248,0.2336938068018662,0.7803596624875846,2043,9470,1176,707,0.9097369140715914,0.30855065633291434,1345,1630,535,1.4034777822699622,690.0009765625,706.0,0.2157338965153115,0.8251533742331288,0.8011615628299894,0.3282208588957055,trocr-base
microsoft/trocr-base-handwritten,malaysian_auto_invert,malaysian,auto_invert,PD,176,0.44050934454286234,0.6045342560033442,1980,5077,1140,594,1.1448886183261182,0.13256222943722942,963,906,127,1.0395349625058854,690.00048828125,706.0,0.38999409099862126,1.0629139072847682,0.6584597203072681,0.1401766004415011,trocr-base
microsoft/trocr-base-handwritten,malaysian_raw,malaysian,raw,LPD,248,0.791526051933563,0.2592223105930779,7139,9470,5171,1420,1.2485219417679096,0.004368279569892473,1902,1630,4,0.8664961995992569,690.00048828125,706.0,0.7538542766631467,1.1668711656441717,0.30401267159450895,0.00245398773006135,trocr-base
microsoft/trocr-base-handwritten,malaysian_raw,malaysian,raw,PD,176,1.0559963791147011,-0.016231047292015816,4935,5077,3170,1539,1.4115169552669553,0.0,1227,906,0,1.141218686930105,693.2939453125,782.0,0.9720307268071696,1.3543046357615893,0.07248375024620839,0.0,trocr-base
microsoft/trocr-large-handwritten,iam,iam,native,IAM-test,200,0.04601036069453692,0.9653593607871911,412,9630,249,63,0.11373429283994298,0.890103655975947,217,1989,1779,1.727790577005362,1108.48486328125,1126.0,0.042782969885773625,0.10910005027652087,0.967601246105919,0.8944193061840121,trocr-large
microsoft/trocr-large-handwritten,malaysian_auto_invert,malaysian,auto_invert,LPD,248,0.1522237174856897,0.8633536196612579,1385,9470,786,418,0.7654491341991342,0.43645004189359027,1103,1630,738,2.1977702600875824,1108.4853515625,1126.0,0.14625131995776136,0.6766871165644172,0.8728616684266104,0.452760736196319,trocr-large
microsoft/trocr-large-handwritten,malaysian_auto_invert,malaysian,auto_invert,PD,176,0.28984817332714613,0.7612222916349346,1381,5077,794,309,0.971322601010101,0.19146825396825395,836,906,167,1.7484255232967287,1108.48486328125,1126.0,0.27201103013590705,0.9227373068432672,0.7827457159740004,0.18432671081677704,trocr-large
microsoft/trocr-large-handwritten,malaysian_raw,malaysian,raw,LPD,248,0.3926255047960142,0.6471896196120067,4142,9470,3020,646,1.0797659777498487,0.11215801447656286,1689,1630,146,1.7591891455663098,1108.48486328125,1126.0,0.4373812038014784,1.036196319018405,0.612882787750792,0.08957055214723926,trocr-large
microsoft/trocr-large-handwritten,malaysian_raw,malaysian,raw,PD,176,0.4876142775888855,0.5640281745177234,2422,5077,1608,514,1.1358901515151514,0.07044778138528139,977,906,57,1.6454682420431213,1108.48486328125,1126.0,0.4770533779791215,1.0783664459161149,0.5820366358085484,0.06291390728476821,trocr-large
microsoft/trocr-small-handwritten,iam,iam,native,IAM-test,200,0.07080576450007209,0.9458177327092233,639,9630,393,126,0.15743537748800907,0.8551232256735353,303,1989,1712,0.15200742549262938,142.1396484375,322.0,0.06635514018691589,0.15233785822021115,0.9461059190031152,0.8607340372046255,trocr-small
microsoft/trocr-small-handwritten,malaysian_auto_invert,malaysian,auto_invert,LPD,248,0.26952834998364267,0.7547076733966549,2349,9470,1480,637,0.914799201694363,0.24596294162826418,1349,1630,442,0.2230722121011856,142.1396484375,160.0,0.2480464625131996,0.8276073619631902,0.7764519535374867,0.27116564417177913,trocr-small
microsoft/trocr-small-handwritten,malaysian_auto_invert,malaysian,auto_invert,PD,176,0.46504801691875763,0.5870009054061099,2214,5077,1361,579,1.1397434163059161,0.07969426406926407,979,906,78,0.1684275045435325,142.1396484375,160.0,0.4360843017530037,1.0805739514348787,0.6178845775064015,0.08609271523178808,trocr-small
microsoft/trocr-small-handwritten,malaysian_raw,malaysian,raw,LPD,248,1.1873691001956819,-0.1351255413720826,7833,9470,5065,2239,1.7141651247498022,0.0037122375832053245,2018,1630,5,0.15009852823042757,164.11767578125,322.0,0.8271383315733897,1.2380368098159509,0.2287222808870116,0.003067484662576687,trocr-small
microsoft/trocr-small-handwritten,malaysian_raw,malaysian,raw,PD,176,1.0348757697340931,0.001629406546077985,5101,5077,3043,1854,1.5881831709956709,0.0,1386,906,0,0.14827709261523767,142.14013671875,322.0,1.0047272011030135,1.5298013245033113,0.03545400827260193,0.0,trocr-small
