reference_char,predicted_char,count
a,o,131
<space>,_,59
h,n,48
a,e,45
s,S,42
u,n,42
b,h,41
a,s,38
r,n,37
a,u,34
u,y,34
a,<space>,29
u,s,29
o,O,23
<space>,-,22
p,P,21
u,i,19
k,K,19
y,g,17
l,t,16
S,s,16
b,k,15
l,d,15
i,t,12
.,-,12
d,l,12
k,b,11
h,<space>,11
i,<space>,10
l,i,10
m,r,10
i,I,10
a,i,10
o,a,9
.,s,9
k,<space>,9
u,a,9
k,t,9
i,l,9
<space>,i,9
b,p,8
l,<space>,8
<space>,n,8
a,A,8
b,t,7
w,m,7
y,v,7
a,r,6
l,j,6
.,n,6
d,s,6
a,l,6
k,c,6
<space>,',6
k,h,6
d,t,6
u,e,5
i,u,5
r,e,5
<space>,r,5
e,o,5
k,l,5
e,c,5
h,b,5
k,e,5
r,t,5
a,c,5
t,r,5
r,k,5
r,h,5
w,W,5
m,n,4
l,e,4
r,s,4
a,n,4
o,s,4
r,<space>,4
B,D,4
t,H,4
a,h,4
u,",",4
i,n,4
t,h,4
u,m,4
d,S,4
k,r,4
l,r,4
B,b,4
<space>,a,4
<space>,I,4
<space>,m,4
y,r,4
e,E,4
b,B,4
y,k,4
s,r,3
l,),3
n,m,3
h,i,3
o,d,3
e,l,3
u,<space>,3
.,",",3
t,T,3
u,U,3
a,R,3
o,e,3
u,w,3
u,o,3
i,',3
i,o,3
u,h,3
b,G,3
<space>,s,3
a,m,3
h,d,3
e,a,3
d,a,3
w,v,3
d,o,3
i,f,3
i,s,3
<space>,e,3
l,1,3
a,d,3
<space>,o,3
<space>,t,3
<space>,u,3
a,k,3
k,n,3
s,g,3
a,y,3
n,h,3
a,g,3
a,q,3
r,R,3
t,<space>,3
e,d,2
m,i,2
i,r,2
a,w,2
u,.,2
k,s,2
j,y,2
e,r,2
p,o,2
a,',2
i,k,2
r,c,2
s,_,2
t,l,2
<space>,.,2
<space>,d,2
d,<space>,2
l,a,2
n,o,2
i,:,2
m,v,2
h,t,2
o,c,2
h,k,2
l,b,2
n,<space>,2
g,a,2
.,r,2
B,p,2
b,d,2
k,p,2
l,!,2
n,a,2
.,_,2
p,r,2
d,k,2
i,h,2
k,m,2
g,<space>,2
u,',2
d,c,2
y,j,2
.,e,2
l,",",2
d,f,2
p,l,2
p,<space>,2
a,.,2
r,i,2
y,s,2
l,L,2
a,4,2
t,k,2
y,i,2
e,i,2
a,O,2
.,o,2
l,y,2
u,H,2
d,j,2
j,i,2
l,I,2
p,f,2
B,R,1
i,y,1
j,a,1
d,D,1
u,r,1
r,f,1
p,u,1
s,n,1
h,.,1
y,X,1
B,H,1
s,E,1
S,B,1
u,k,1
u,v,1
b,r,1
.,<space>,1
.,',1
m,o,1
p,s,1
e,s,1
l,o,1
j,g,1
<space>,p,1
l,',1
r,v,1
.,:,1
j,o,1
e,k,1
b,<space>,1
n,u,1
u,l,1
p,t,1
h,r,1
h,H,1
p,a,1
o,b,1
k,a,1
p,h,1
a,b,1
.,i,1
r,m,1
t,d,1
t,A,1
i,-,1
n,x,1
n,s,1
h,a,1
.,k,1
h,K,1
b,K,1
t,j,1
d,u,1
s,<space>,1
g,d,1
a,M,1
l,k,1
<space>,G,1
o,S,1
<space>,v,1
r,p,1
.,m,1
u,V,1
l,h,1
s,G,1
r,K,1
g,s,1
k,w,1
m,p,1
y,<space>,1
j,s,1
b,V,1
S,Y,1
l,-,1
u,f,1
<space>,y,1
e,-,1
h,E,1
h,f,1
m,M,1
<space>,h,1
h,',1
b,f,1
e,f,1
i,.,1
i,v,1
.,t,1
d,0,1
a,9,1
t,f,1
r,u,1
S,r,1
r,o,1
l,f,1
a,v,1
u,"""",1
u,4,1
t,m,1
r,g,1
S,o,1
b,e,1
h,e,1
<space>,k,1
r,!,1
i,j,1
k,v,1
.,"""",1
n,r,1
g,y,1
y,b,1
i,(,1
i,e,1
y,d,1
h,",",1
j,J,1
i,!,1
d,J,1
r,b,1
b,s,1
o,i,1
P,f,1
d,y,1
i,b,1
b,.,1
s,N,1
k,.,1
k,i,1
t,M,1
d,L,1
.,g,1
g,e,1
l,Y,1
i,T,1
K,k,1
.,a,1
B,s,1
a,x,1
k,x,1
B,g,1
u,t,1
<space>,w,1
R,K,1
a,K,1
h,I,1
d,g,1
h,l,1
s,b,1
y,e,1
e,b,1
s,R,1
b,D,1
e,',1
r,E,1
